"","Team","Opponent","game_id","game_date","season","is_home","TOI","GF","GA","G_diff","xGF","xGA","xG_diff","SF","SA","S_diff","FF","FA","F_diff","CF","CA","C_diff","PEND2","PENT2","PEND5","PENT5"
"181","ANA","VAN",2010020041,14895,20102011,1,60,4,3,1,5.99063842993928,5.3660032831076,0.624635146831679,32,39,-7,43,58,-15,55,68,-13,5,3,0,0
"182","ANA","ATL",2010020053,14897,20102011,1,65,4,4,0,7.29435317792377,3.88185887584992,3.41249430207385,41,33,8,66,46,20,79,58,21,7,4,0,0
"183","ANA","ARI",2010020067,14899,20102011,1,60,3,2,1,0,0,0,35,38,-3,47,54,-7,52,62,-10,4,3,0,0
"184","ANA","CBJ",2010020079,14902,20102011,0,60,1,3,-2,2.79928801419737,5.15826043288689,-2.35897241868952,32,22,10,42,28,14,62,35,27,5,3,0,0
"185","ANA","PHI",2010020084,14903,20102011,0,60,3,2,1,2.47169672137147,7.90505528939181,-5.43335856802034,22,42,-20,32,61,-29,40,89,-49,4,5,0,0
"186","ANA","DET",2010020104,14905,20102011,0,60,4,5,-1,3.83147233142518,4.46366027486511,-0.632187943439931,25,41,-16,34,56,-22,45,73,-28,1,3,0,0
"187","ANA","DAL",2010020121,14908,20102011,0,60,5,2,3,2.96547862432931,2.71518343509524,0.250295189234066,26,37,-11,37,48,-11,44,62,-18,2,5,0,0
"188","ANA","N.J",2010020142,14911,20102011,1,60,1,2,-1,5.62776492883131,1.98575816247467,3.64200676635664,28,27,1,39,35,4,44,49,-5,4,4,0,0
"189","ANA","S.J",2010020156,14912,20102011,0,60,2,5,-3,3.53791767262737,4.78060169877426,-1.24268402614689,24,41,-17,35,55,-20,54,70,-16,3,6,0,0
"190","ANA","T.B",2010020172,14916,20102011,1,62.8833333333333,3,2,1,5.17246664711274,5.29149787833376,-0.119031231221015,30,34,-4,43,44,-1,57,55,2,5,3,0,0
