Year,Player,Team,Position,GP,TOI,Goals,Total_Assists,First_Assists,Second_Assists,Total_Points,Shots,SHPer,iCF,iFF,iSCF,iHDCF,Rush_Attempts,Rebounds_Created,PIM,Total_Penalties,Minor,Major,Misconduct,Penalties_Drawn,Giveaways,Takeaways,Hits,Hits_Taken,Shots_Blocked,Faceoffs_Won,Faceoffs_Lost,Faceoffs_Per
2015,Corey Tropp,CBJ,R,61,533.9666667,1,7,4,3,8,22,4.55,46,36,39,24,2,2,76,21,13,6,2,15,10,12,80,94,27,1,1,50
2015,Robert Bortuzzo,"PIT, STL",D,51,770.8166667,3,5,3,2,8,56,5.36,124,82,22,4,4,5,93,27,18,7,2,17,9,3,157,130,61,1,0,100
2015,Joakim Andersson,DET,C,68,790.7833333,3,5,5,0,8,74,4.05,103,88,60,21,7,6,22,11,11,0,0,5,13,8,27,74,24,192,183,51.2
2015,Dalton Prout,CBJ,D,63,1160.166667,0,8,4,4,8,64,0,130,80,26,1,1,12,85,28,20,7,1,23,18,3,166,89,84,0,0,-
2015,Jordan Schroeder,MIN,C,25,271.4,3,5,3,2,8,46,6.52,63,56,39,18,2,2,2,1,1,0,0,2,5,13,22,10,6,0,0,-
2015,Dylan Olsen,FLA,D,44,699.7333333,2,6,2,4,8,44,4.55,91,60,16,0,0,4,20,10,10,0,0,7,9,9,77,54,52,0,0,-
2015,Ben Chiarot,WPG,D,40,680.9166667,2,6,4,2,8,37,5.41,88,54,21,2,1,6,22,8,6,2,0,5,25,8,70,90,51,0,0,-
2015,Teemu Pulkkinen,DET,L,31,355.75,5,3,1,2,8,67,7.46,135,97,51,13,2,4,10,5,5,0,0,1,4,2,3,29,4,0,0,-
2015,Brett Ritchie,DAL,R,31,433.5666667,6,2,1,1,8,77,7.79,137,106,80,42,2,11,12,6,6,0,0,6,9,9,88,37,5,1,3,25
2015,Jamie Oleksiak,DAL,D,36,482.3666667,1,7,2,5,8,36,2.78,61,47,13,3,0,4,8,4,4,0,0,4,22,9,82,41,46,0,0,-
2015,Matt Tennyson,S.J,D,27,474.3166667,2,6,2,4,8,37,5.41,85,65,10,2,1,3,16,7,7,0,0,1,18,11,48,79,34,0,0,-
2015,Christian Folin,MIN,D,40,608,2,6,4,2,8,38,5.26,85,56,16,1,1,4,13,5,4,1,0,5,16,9,46,77,42,0,0,-
2015,Stephane Robidas,TOR,D,52,887.6166667,1,6,1,5,7,34,2.94,88,57,17,2,2,6,34,17,17,0,0,4,16,8,141,135,75,0,0,-
2015,Craig Adams,PIT,R,70,682.1833333,1,6,3,3,7,51,1.96,76,64,43,18,5,5,44,11,7,2,2,8,7,6,183,71,29,17,23,42.5
2015,Scott Hannan,S.J,D,58,946.1166667,2,5,3,2,7,53,3.77,96,69,21,5,0,5,26,13,13,0,0,3,16,8,32,58,69,0,0,-
2015,Chris Neil,OTT,R,38,369.9666667,4,3,2,1,7,23,17.39,47,35,27,13,0,3,78,19,9,8,2,18,2,4,136,28,11,3,2,60
2015,Anton Volchenkov,NSH,D,46,606.2,0,7,1,6,7,35,0,79,51,22,2,2,3,14,7,7,0,0,3,13,3,93,102,48,0,0,-
2015,Tim Jackman,ANA,R,55,460.9333333,5,2,0,2,7,55,9.09,101,84,48,26,8,5,86,23,13,8,2,24,6,6,110,81,19,10,4,71.43
2015,Adam McQuaid,BOS,D,63,1161.466667,1,6,2,4,7,60,1.67,135,86,17,0,1,5,85,31,25,5,1,18,22,7,141,132,91,0,1,0
