,Player,FantasyTeam,OverallDraftNumber,DraftRound,Fantasy Points,Modeled_Fantasy_Points,Points Differential
162,Kris Letang,Beet Beet Gourde Gourde,60,5,225.5,200.7992629625775,24.7007370374225
163,Jake Guentzel,Shat Deuces,223,19,252.65000000000003,205.52510807555103,47.124891924449
164,Patric Hornqvist,Tronhelm Black Bears,100,9,166.8,136.46143673830858,30.338563261691434
165,Phil Kessel,Team Game Blouses,2,1,228.9,175.9548653422822,52.9451346577178
166,Logan Couture,Beet Beet Gourde Gourde,132,11,226.60000000000002,208.52061658879663,18.079383411203395
167,Joe Thornton,Paul North Kariya,176,15,146.25,132.3838425838248,13.866157416175213
168,Joe Pavelski,Team Game Blouses,74,7,246.89999999999998,199.59283401996117,47.3071659800388
169,Erik Karlsson,London Bacon Blades,13,2,153.7,152.32577874410313,1.374221255896856
170,Brent Burns,Beet Beet Gourde Gourde,12,1,274.54999999999995,240.1351363327842,34.41486366721574
171,Marc-Edouard Vlasic,Shat Deuces,186,16,114.00000000000001,134.04308827927252,20.04308827927251
172,Evander Kane,Tronhelm Black Bears,69,6,222.4,200.16481751483275,22.235182485167257
173,Tomas Hertl,Davinci's McDavid,177,15,250.85000000000002,212.87455772756843,37.97544227243159
174,Gustav Nyquist,Amesville Aliens,149,13,167.45000000000002,171.86169095711077,4.41169095711075
175,Timo Meier,Every Day I'm Byfuglien,183,16,216.39999999999998,197.3981981447665,19.00180185523348
176,Kevin Labanc,Every Day I'm Byfuglien,202,17,163.65,141.31658053729242,22.33341946270758
177,Brayden Schenn,Every Day I'm Byfuglien,82,7,182.2,160.28649152164118,21.913508478358807
178,Vince Dunn,Amesville Aliens,260,22,140.0,140.91122908662086,0.9112290866208639
179,Alex Pietrangelo,Shat Deuces,114,10,181.25,174.49203087100392,6.757969128996081
180,Colton Parayko,Takoma Park Holtbeasts,174,15,182.4,152.54322819394628,29.85677180605373
181,David Perron,London Bacon Blades,264,22,142.65,119.23573951116703,23.41426048883298
182,Pat Maroon,Beet Beet Gourde Gourde,229,20,115.94999999999999,119.631327812012,3.6813278120120145
183,Jaden Schwartz,Shat Deuces,175,15,124.5,128.43984852539197,3.939848525391966
184,Alexander Steen,Shat Deuces,271,23,112.39999999999999,103.3298474929458,9.070152507054189
185,Ryan O'Reilly,Datsyuk's Dekes,134,12,265.29999999999995,240.34952934947296,24.950470650526995
186,Vladimir Tarasenko,Shat Deuces,42,4,223.45000000000002,184.19681511430088,39.25318488569914
187,Steven Stamkos,London Bacon Blades,25,3,323.3,226.86613013935641,96.4338698606436
188,Tyler Johnson,Paul North Kariya,161,14,168.8,168.76842243547307,0.03157756452694116
189,J.T. Miller,Takoma Park Holtbeasts,139,12,170.4,142.19939480232762,28.200605197672388
190,Brayden Point,Gritty Gritty Bang Bang,70,6,291.8,218.87499191538606,72.92500808461395
191,Mikhail Sergachev,London Bacon Blades,144,12,148.75,138.92454127738694,9.825458722613064
192,Victor Hedman,Paul North Kariya,32,3,188.55,170.6577937115429,17.892206288457118
193,Ryan McDonagh,Shat Deuces,258,22,196.0,163.62567025052974,32.37432974947026
194,Anton Stralman,Every Day I'm Byfuglien,255,22,88.7,86.66709267079969,2.032907329200313
195,Yanni Gourde,Beet Beet Gourde Gourde,84,7,170.04999999999998,161.4591928021623,8.590807197837677
196,Alex Killorn,Beet Beet Gourde Gourde,228,19,134.60000000000002,144.84715519577105,10.247155195771029
197,Nikita Kucherov,Shat Deuces,7,1,336.25,243.80850928101572,92.44149071898428
198,John Tavares,Tronhelm Black Bears,4,1,313.65000000000003,264.03931370689185,49.61068629310819
