,,,,,rule
2/23/16,JACKMAN,BARRET,1.237151797,BARRET JACKMAN,1
2/23/16,WATSON,AUSTIN,1.233892462,AUSTIN WATSON,1
2/23/16,KASSIAN,ZACK,1.227676937,ZACK KASSIAN,1
2/23/16,BOROWIECKI,MARK,1.225967818,MARK BOROWIECKI,1
2/23/16,SALOMAKI,MIIKKA,1.218836267,MIIKKA SALOMAKI,1
2/23/16,COPP,ANDREW,1.214441573,ANDREW COPP,1
2/23/16,MOORE,DOMINIC,1.213947608,DOMINIC MOORE,1
2/23/16,CLUNE,RICH,1.186350353,RICH CLUNE,1
2/23/16,PAKARINEN,IIRO,1.185786866,IIRO PAKARINEN,1
2/23/16,CONDRA,ERIK,1.184984308,ERIK CONDRA,1
2/23/16,CAMPBELL,GREGORY,1.179828799,GREGORY CAMPBELL,1
2/23/16,NEIL,CHRIS,1.170168414,CHRIS NEIL,1
2/23/16,THORBURN,CHRIS,1.132136419,CHRIS THORBURN,1
2/23/16,GLASS,TANNER,1.118642752,TANNER GLASS,1
2/23/16,GAUSTAD,PAUL,1.117555076,PAUL GAUSTAD,1
2/23/16,PELUSO,ANTHONY,1.112941078,ANTHONY PELUSO,1
2/23/16,BOYLE,BRIAN,1.109718173,BRIAN BOYLE,1
2/23/16,PORTER,CHRIS,1.105497472,CHRIS PORTER,1
