"","Team","Opponent","game_id","game_date","season","is_home","TOI","TOI_5v4","TOI_5v3","TOI_4v3","GF","GA","xGF","xGA","SF","SA","FF","FA","CF","CA","PEND2","PENT2","PEND5","PENT5"
"144","ANA","CGY",2009020722,14626,20092010,1,5.1,4,0,1.1,1,0,0,0,2,0,7,0,8,0,0,0,0,0
"145","ANA","BUF",2009020739,14628,20092010,1,4.26666666666667,2.6,0,1.66666666666667,1,0,0,0,7,0,9,0,10,0,1,0,0,0
"146","ANA","S.J",2009020756,14630,20092010,0,8.3,8.3,0,0,0,0,0,0,10,0,12,1,14,1,0,1,0,0
"147","ANA","STL",2009020768,14632,20092010,0,6,6,0,0,0,0,0,0,8,0,12,0,16,0,0,0,0,0
"148","ANA","ATL",2009020780,14635,20092010,0,7.1,7.1,0,0,0,0,0,0,9,3,11,3,12,3,0,1,0,0
"149","ANA","WSH",2009020788,14636,20092010,0,4,4,0,0,0,0,0,0,4,1,9,1,13,1,0,0,0,0
"150","ANA","T.B",2009020804,14638,20092010,0,3.28333333333333,3.28333333333333,0,0,1,0,0,0,3,0,3,0,5,1,0,0,0,0
"151","ANA","FLA",2009020824,14641,20092010,0,5,5,0,0,1,0,0,0,5,0,9,0,13,1,0,0,0,0
"152","ANA","DET",2009020840,14643,20092010,1,4,4,0,0,0,0,0,0,6,2,6,2,7,2,0,0,0,0
"153","ANA","L.A",2009020849,14644,20092010,0,2,2,0,0,0,0,0,0,1,0,3,0,4,0,0,0,0,0
"154","ANA","L.A",2009020875,14648,20092010,1,6.03333333333333,4.86666666666667,1.16666666666667,0,2,0,0,0,9,0,10,0,13,0,0,0,0,0
"155","ANA","EDM",2009020890,14650,20092010,1,13.3,13.3,0,0,1,2,0,0,11,5,17,5,28,6,0,0,0,0
"156","ANA","CGY",2009020914,14653,20092010,0,4,4,0,0,0,0,0,0,2,1,3,1,8,1,0,0,0,0
"157","ANA","EDM",2009020921,14654,20092010,0,18.1,16.85,0,1.25,4,1,0,0,21,5,25,7,30,9,0,0,0,0
"158","ANA","COL",2009020940,14671,20092010,1,9.1,9.1,0,0,2,0,0,0,15,0,19,0,19,0,0,0,0,0
"159","ANA","ARI",2009020961,14674,20092010,0,12.4833333333333,12.4833333333333,0,0,0,0,0,0,8,1,13,1,20,2,0,0,0,0
"160","ANA","MTL",2009020973,14675,20092010,1,1.71666666666667,1.71666666666667,0,0,1,0,0,0,2,0,4,0,5,0,0,0,0,0
"161","ANA","CBJ",2009020984,14677,20092010,1,9.3,8.46666666666667,0,0.833333333333333,0,0,0,0,11,1,13,2,14,2,1,2,0,0
"162","ANA","NSH",2009021005,14680,20092010,1,0.833333333333333,0.833333333333333,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
"163","ANA","S.J",2009021023,14682,20092010,1,9.55,8.98333333333333,0.566666666666667,0,0,0,0,0,9,1,12,1,14,1,2,1,0,0
"164","ANA","CHI",2009021041,14685,20092010,1,4,4,0,0,0,0,0,0,5,0,9,0,12,0,0,0,0,0
"165","ANA","NYI",2009021056,14687,20092010,1,3.93333333333333,3.93333333333333,0,0,1,0,0,0,3,0,8,0,13,0,0,0,0,0
"166","ANA","COL",2009021076,14689,20092010,1,8.71666666666667,8.71666666666667,0,0,3,0,0,0,11,1,14,1,16,1,0,0,0,0
"167","ANA","VAN",2009021095,14692,20092010,0,8,8,0,0,0,0,0,0,6,1,11,1,12,1,0,0,0,0
"168","ANA","EDM",2009021109,14694,20092010,0,6.26666666666667,5.98333333333333,0.283333333333333,0,2,0,0,0,6,0,9,0,12,0,0,0,0,0
"169","ANA","DAL",2009021132,14697,20092010,1,8.01666666666667,8.01666666666667,0,0,1,0,0,0,9,0,14,0,16,0,0,0,0,0
"170","ANA","COL",2009021147,14699,20092010,0,2,2,0,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0
"171","ANA","VAN",2009021163,14701,20092010,1,11.9833333333333,11.5166666666667,0.466666666666667,0,2,0,0,0,14,0,23,0,31,0,1,0,0,0
"172","ANA","L.A",2009021174,14702,20092010,0,2,2,0,0,0,0,0,0,1,0,1,1,2,1,0,0,0,0
"173","ANA","L.A",2009021192,14705,20092010,1,3.78333333333333,3.78333333333333,0,0,2,0,0,0,2,3,4,3,5,3,0,0,0,0
"174","ANA","DAL",2009021203,14707,20092010,0,6.73333333333333,6.73333333333333,0,0,1,0,0,0,3,1,6,1,7,2,0,0,0,0
"175","ANA","STL",2009021210,14708,20092010,0,4,4,0,0,0,0,0,0,2,1,4,2,4,2,1,1,0,0
"176","ANA","EDM",2009021230,14710,20092010,1,4.26666666666667,4.21666666666667,0,0.05,1,0,0,0,6,1,7,1,7,1,0,0,0,0
"177","ANA","DET",2010020009,14890,20102011,0,1.93333333333333,1.93333333333333,0,0,0,0,0.131127148866653,0.00000312581687467173,1,0,1,1,2,1,0,0,0,0
"178","ANA","NSH",2010020020,14891,20102011,0,5.26666666666667,4.51666666666667,0.75,0,0,0,1.2104557864368,0,11,0,11,0,16,0,1,0,0,0
"179","ANA","STL",2010020029,14893,20102011,0,7.21666666666667,7.21666666666667,0,0,1,1,0.573736552149057,0.000075950567406835,6,2,6,2,8,2,0,0,0,0
"180","ANA","VAN",2010020041,14895,20102011,1,4.65,2.41666666666667,2.23333333333333,0,2,0,0.879945158958435,0.000191289943359152,6,4,6,4,8,4,2,1,0,0
"181","ANA","ATL",2010020053,14897,20102011,1,9.9,9.9,0,0,3,0,2.36802971176803,0.00000329663312559347,14,1,23,2,26,3,0,0,0,0
"182","ANA","ARI",2010020067,14899,20102011,1,4.15,4.15,0,0,0,0,0,0,2,0,3,0,5,0,0,0,0,0
"183","ANA","CBJ",2010020079,14902,20102011,0,8.3,8.3,0,0,0,0,0.444921152666211,0,6,0,8,0,12,0,0,0,0,0
"184","ANA","PHI",2010020084,14903,20102011,0,6.81666666666667,6.81666666666667,0,0,0,0,0.232556043192744,0.0000014347628791711,4,2,5,3,7,3,0,1,0,0
"185","ANA","DET",2010020104,14905,20102011,0,2,2,0,0,0,0,0.0285124089568853,0,1,0,1,0,1,0,0,0,0,0
"186","ANA","DAL",2010020121,14908,20102011,0,7.11666666666667,7.11666666666667,0,0,2,0,1.03794928733259,0.000914943113457412,7,0,8,1,9,1,0,0,0,0
"187","ANA","N.J",2010020142,14911,20102011,1,5.56666666666667,5.56666666666667,0,0,1,0,0.530636474490166,0,4,0,7,0,7,0,0,0,0,0
"188","ANA","S.J",2010020156,14912,20102011,0,1.95,1.95,0,0,2,0,0.366098679602146,0,2,0,2,0,3,0,0,0,0,0
"189","ANA","T.B",2010020172,14916,20102011,1,8.38333333333333,8.38333333333333,0,0,1,0,0.872692167758942,0,8,0,10,0,15,0,0,0,0,0
"190","ANA","PIT",2010020186,14918,20102011,1,2.73333333333333,2.73333333333333,0,0,0,0,0.0469447281211615,0.00745344822336769,2,2,2,2,3,2,0,0,0,0
"191","ANA","NSH",2010020202,14920,20102011,1,6,6,0,0,1,0,1.00135069899261,0.00037137696273512,4,0,10,2,11,2,0,0,0,0
"192","ANA","S.J",2010020210,14922,20102011,0,4,4,0,0,0,0,0.416070159524679,0,3,0,4,0,5,0,0,0,0,0
